Person,Response
Person_1,No
Person_2,Yes
Person_3,No
Person_4,No
Person_5,No
Person_6,No
Person_7,No
Person_8,No
Person_9,Yes
Person_10,Yes
Person_11,Yes
Person_12,No
Person_13,No
Person_14,No
Person_15,Yes
Person_16,No
Person_17,Yes
Person_18,Yes
Person_19,Yes
Person_20,Yes
Person_21,Yes
Person_22,No
Person_23,No
Person_24,No
Person_25,No
Person_26,No
Person_27,Yes
Person_28,No
Person_29,No
Person_30,No
Person_31,No
Person_32,No
Person_33,No
Person_34,No
Person_35,No
Person_36,Yes
Person_37,Yes
Person_38,Yes
Person_39,Yes
Person_40,No
Person_41,No
Person_42,No
Person_43,No
Person_44,No
Person_45,No
Person_46,No
Person_47,No
Person_48,Yes
Person_49,No
Person_50,No
Person_51,Yes
Person_52,No
Person_53,Yes
Person_54,Yes
Person_55,Yes
Person_56,No
Person_57,No
Person_58,No
Person_59,Yes
Person_60,No
Person_61,Yes
Person_62,Yes
Person_63,Yes
Person_64,No
Person_65,Yes
Person_66,Yes
Person_67,Yes
Person_68,Yes
Person_69,Yes
Person_70,Yes
Person_71,No
Person_72,Yes
Person_73,Yes
Person_74,No
Person_75,Yes
Person_76,Yes
Person_77,No
Person_78,No
Person_79,Yes
Person_80,Yes
Person_81,No
Person_82,Yes
Person_83,No
Person_84,No
Person_85,Yes
Person_86,No
Person_87,No
Person_88,No
Person_89,No
Person_90,Yes
Person_91,Yes
Person_92,Yes
Person_93,Yes
Person_94,No
Person_95,No
Person_96,Yes
Person_97,No
Person_98,Yes
Person_99,Yes
Person_100,Yes
